Date,Open,High,Low,Close,Volume,Adj Close
2014-06-17,42.41,42.439999,39.880001,40.259998,9100,40.259998
2014-06-16,40.73,40.869999,40.599998,40.650002,4300,40.650002
2014-06-13,41.990002,41.990002,40.040001,40.77,15200,40.77
2014-06-12,39.529999,40.950001,39.389999,40.720001,8700,40.720001
2014-06-11,37.900002,38.02,37.389999,37.779999,2600,37.779999
2014-06-10,38.169998,38.240002,37.27,37.900002,5500,37.900002
2014-06-09,37.040001,37.279999,37.00,37.279999,2400,37.279999
2014-06-06,36.169998,39.110001,35.57,36.060001,3500,36.060001
2014-06-05,35.900002,35.900002,35.740002,35.740002,5000,35.740002
2014-06-04,36.799999,36.799999,36.02,36.029999,1400,36.029999
2014-06-03,35.669998,35.669998,35.57,35.57,500,35.57
2014-06-02,35.610001,35.759998,35.490002,35.610001,2400,35.610001
2014-05-30,35.900002,35.900002,35.73,35.73,700,35.73
2014-05-29,36.470001,37.029999,36.330002,36.779999,5600,36.779999
2014-05-28,36.900002,36.900002,36.049999,36.099998,6600,36.099998
2014-05-27,37.950001,37.950001,37.25,37.25,1800,37.25
2014-05-23,37.82,37.939999,37.82,37.939999,500,37.939999
2014-05-22,37.639999,37.639999,37.009998,37.009998,1200,37.009998
2014-05-21,36.860001,37.740002,36.860001,37.580002,6500,37.580002
2014-05-20,35.509998,35.509998,35.240002,35.27,1400,35.27
2014-05-19,35.060001,35.619999,35.060001,35.509998,1900,35.509998
2014-05-16,34.580002,34.580002,34.580002,34.580002,200,34.580002
2014-05-15,34.970001,34.970001,34.970001,34.970001,000,34.970001
2014-05-14,35.119999,35.25,34.740002,34.970001,3300,34.970001
2014-05-13,33.830002,34.610001,33.830002,34.610001,1800,34.610001
2014-05-12,33.439999,33.439999,33.41,33.41,500,33.41
2014-05-09,33.470001,33.470001,32.27,32.27,900,32.27
2014-05-08,32.900002,32.900002,32.759998,32.759998,500,32.759998
2014-05-07,33.049999,33.50,32.57,33.48,5400,33.48
2014-05-06,32.869999,33.00,32.150002,32.299999,1100,32.299999
2014-05-05,32.310001,32.310001,31.67,32.169998,4400,32.169998
2014-05-02,32.549999,32.549999,32.279999,32.290001,1700,32.290001
2014-05-01,31.950001,32.209999,31.780001,32.07,6800,32.07
2014-04-30,32.41,32.560001,32.029999,32.450001,5400,32.450001
2014-04-29,33.57,34.75,33.57,33.59,1100,33.59
2014-04-28,33.18,33.689999,33.18,33.689999,3500,33.689999
2014-04-25,33.400002,33.529999,33.400002,33.529999,300,33.529999
2014-04-24,34.830002,34.939999,34.540001,34.540001,5900,34.540001
2014-04-23,34.630001,34.740002,34.139999,34.630001,2900,34.630001
2014-04-22,34.779999,34.950001,34.310001,34.48,10900,34.48
2014-04-21,36.099998,36.43,36.099998,36.32,3500,36.32
2014-04-17,35.830002,36.630001,35.830002,36.389999,46400,36.389999
2014-04-16,36.66,36.77,35.82,35.82,900,35.82
